t,cpu_pct,mem_pct,accel_raw
0.15,0.8547008547008547,14.45498152272338,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
1.3,9.243697478991596,14.468833361885416,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
2.45,5.042016806722689,14.471892513643818,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
3.61,4.385964912280702,14.464550549423656,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
4.76,2.5210084033613445,14.490394263478622,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
5.91,2.542372881355932,14.494677075940384,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
7.06,2.5,14.506620004405178,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
8.21,5.0,14.498886468759942,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
9.36,0.847457627118644,14.481192334989354,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
10.52,2.5210084033613445,14.47274907613617,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
11.67,3.4188034188034186,14.478916326081103,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
12.82,0.0,14.480458138567338,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
13.97,3.3333333333333335,14.480458138567338,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
15.12,1.694915254237288,14.483517290325738,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
16.27,4.166666666666667,14.48946428134407,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
17.43,2.586206896551724,14.474535620763074,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
18.58,7.563025210084033,14.482073370695774,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
19.73,3.4188034188034186,14.485156995668241,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
20.88,0.0,14.49286605809941,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
22.03,1.680672268907563,14.49286605809941,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
23.19,4.958677685950414,14.494138665230905,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
24.34,1.680672268907563,14.474364308264605,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
25.49,2.5210084033613445,14.485303834952644,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
26.64,3.3333333333333335,14.475025085044418,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
